observation_id,git_revision,benchmark_config_sha256,workload_sha256,library,library_version,renderer,workload_size,repeat_index,execution_order_index,render_ms,update_ms,browser_name,browser_version,viewport_width,viewport_height,device_pixel_ratio,status,failure_code
OBS-VIS-00063,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,ECharts,5.6.0,canvas,1000,3,63,34,32.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00064,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,4e0f18ce5dd9532411cab14c6e4633216a8a36331fc602117fc07af1f6f9d436,D3,7.9.0,svg,5000,2,64,85.5,52.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00065,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,D3,7.9.0,svg,10000,2,65,159.8,120.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00066,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,4e0f18ce5dd9532411cab14c6e4633216a8a36331fc602117fc07af1f6f9d436,ECharts,5.6.0,canvas,5000,3,66,124,99.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00067,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,Chart.js,4.4.8,canvas,10000,8,67,70.4,63.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00068,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,ECharts,5.6.0,canvas,100,2,68,17.2,32.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00069,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,ECharts,5.6.0,canvas,1000,9,69,32.7,23.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00070,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,ECharts,5.6.0,canvas,1000,6,70,27.5,34.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00071,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,4e0f18ce5dd9532411cab14c6e4633216a8a36331fc602117fc07af1f6f9d436,ECharts,5.6.0,canvas,5000,8,71,109.5,113.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00072,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,Chart.js,4.4.8,canvas,100,3,72,17.8,16.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00073,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,Chart.js,4.4.8,canvas,10000,6,73,75.6,58,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00074,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,D3,7.9.0,svg,1000,7,74,16.6,21.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00075,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,4e0f18ce5dd9532411cab14c6e4633216a8a36331fc602117fc07af1f6f9d436,Chart.js,4.4.8,canvas,5000,5,75,41.8,41.8,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00076,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,ECharts,5.6.0,canvas,10000,5,76,252.6,210.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00077,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,4e0f18ce5dd9532411cab14c6e4633216a8a36331fc602117fc07af1f6f9d436,Chart.js,4.4.8,canvas,5000,10,77,43.4,37.8,Edge,151.0.0.0,1440,900,1,COMPLETED,
