observation_id,git_revision,benchmark_config_sha256,workload_sha256,library,library_version,renderer,workload_size,repeat_index,execution_order_index,render_ms,update_ms,browser_name,browser_version,viewport_width,viewport_height,device_pixel_ratio,status,failure_code
OBS-VIS-00052,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,10000,7,52,79.6,103.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00053,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,5000,6,53,34.1,46.8,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00054,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,10000,3,54,73,61.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00055,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,10000,4,55,33.1,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00056,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,1000,6,56,32.6,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00057,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,1000,10,57,17.1,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00058,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,5000,7,58,18.8,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00059,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,5000,7,59,36.9,35.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00060,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,5000,1,60,43.6,56.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00061,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,5000,2,61,33.1,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00062,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,5000,9,62,18.1,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00063,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,1000,3,63,21.8,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00064,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,5000,2,64,30,26,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00065,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,10000,2,65,77.3,65,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00066,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,5000,3,66,46.5,54,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00067,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,10000,8,67,23,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00068,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,100,2,68,33.1,33,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00069,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,1000,9,69,20.6,33.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00070,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,1000,6,70,8.9,32.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00071,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,5000,8,71,41.6,54.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00072,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,100,3,72,18.2,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00073,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,10000,6,73,20.1,37.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00074,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,1000,7,74,21.4,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00075,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,5000,5,75,21.3,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00076,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,10000,5,76,83.4,90.8,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00077,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,5000,10,77,16.6,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00078,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,100,8,78,16.8,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00079,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,10000,6,79,76.2,76.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00080,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,10000,10,80,77.8,76.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00081,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,100,2,81,21.6,34.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00082,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,100,6,82,32.8,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00083,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,1000,8,83,11.6,33.6,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00084,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,100,10,84,17,34.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00085,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,10000,3,85,93.6,89.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00086,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,1000,9,86,33.2,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00087,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,100,8,87,17.4,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00088,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,10000,4,88,72.2,64.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00089,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,100,8,89,12.2,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00090,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,10000,5,90,16.5,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00091,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,100,6,91,32.8,33,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00092,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,100,3,92,20.4,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00093,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,10000,8,93,60.5,60.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00094,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,5000,4,94,32.7,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00095,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,10000,9,95,64.1,73.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00096,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,1000,1,96,22.9,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00097,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,5000,6,97,41.6,57.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00098,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,1000,4,98,32.5,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00099,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,1000,8,99,32.7,33.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00100,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,1000,6,100,18.2,33.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00101,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,100,10,101,3.2,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00102,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,1000,5,102,23.1,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00103,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,10000,2,103,32.7,33.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00104,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,1000,5,104,32.7,35.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00105,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,100,10,105,22,32.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00106,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,5000,4,106,41.6,40.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00107,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,1000,3,107,10.6,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00108,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,5000,10,108,38.6,27.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00109,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,1000,5,109,19.7,33,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00110,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,1000,4,110,22.1,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00111,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,10000,1,111,33,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
