observation_id,git_revision,min_support,repeat_index,k,source,generated,pruned,evaluated,frequent,pruning_ratio
OBS-00008,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,5,5,join_prune,15,7,8,8,0.466667
OBS-00008,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,5,6,join_prune,1,1,0,0,1.000000
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,1,1,singleton_scan,119,0,119,13,0.000000
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,1,2,join_prune,78,0,78,41,0.000000
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,1,3,join_prune,75,12,63,56,0.160000
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,1,4,join_prune,48,9,39,35,0.187500
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,1,5,join_prune,15,7,8,8,0.466667
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,1,6,join_prune,1,1,0,0,1.000000
OBS-00010,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,2,1,singleton_scan,119,0,119,8,0.000000
OBS-00010,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,2,2,join_prune,28,0,28,18,0.000000
OBS-00010,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,2,3,join_prune,23,4,19,17,0.173913
OBS-00010,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,2,4,join_prune,13,6,7,7,0.461538
OBS-00010,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,2,5,join_prune,2,1,1,1,0.500000
OBS-00011,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,1,1,singleton_scan,119,0,119,8,0.000000
OBS-00011,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,1,2,join_prune,28,0,28,18,0.000000
OBS-00011,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,1,3,join_prune,23,4,19,17,0.173913
OBS-00011,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,1,4,join_prune,13,6,7,7,0.461538
OBS-00011,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,1,5,join_prune,2,1,1,1,0.500000
OBS-00012,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,6,1,singleton_scan,119,0,119,18,0.000000
OBS-00012,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,6,2,join_prune,153,0,153,67,0.000000
OBS-00012,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,6,3,join_prune,175,60,115,110,0.342857
OBS-00012,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,6,4,join_prune,139,43,96,91,0.309353
OBS-00012,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,6,5,join_prune,49,12,37,37,0.244898
OBS-00012,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,6,6,join_prune,6,0,6,6,0.000000
OBS-00013,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,1,1,singleton_scan,119,0,119,18,0.000000
OBS-00013,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,1,2,join_prune,153,0,153,67,0.000000
OBS-00013,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,1,3,join_prune,175,60,115,110,0.342857
OBS-00013,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,1,4,join_prune,139,43,96,91,0.309353
