min_support,required_count,candidates_generated,candidates_pruned,candidates_evaluated,frequent_itemsets,rules_count,max_k,median_runtime_ms,iqr_runtime_ms,pruning_ratio
0.35,2844,2131,624,1507,1189,11055,7,14047.443,5549.082,0.292820
0.40,3250,1104,280,824,565,3576,7,5737.617,1270.777,0.253623
0.45,3656,641,115,526,329,1859,6,3322.764,551.320,0.179407
0.50,4062,336,29,307,153,664,5,1424.078,238.000,0.086310
0.60,4875,185,11,174,51,223,5,523.072,317.164,0.059459
